Websites,DP11 (Cookie Info Display ),,DP12 (PurposeInfoDisplay,,DP13 (OptOutPricing),,DP14 (ConsentRevocationPossible),,DP15 (RevocationHard),,DP17 (LegalAmbiguity),,"DP19 (Multi-Click Opt-Out)
",
hugedomains.com,T,T,F,T,F,F,F,F,T,T,T,T,F,F
ihk.de,T,T,F,F,F,F,F,F,T,T,F,F,F,F
ilgiornale.it,T,T,F,F,F,F,T,T,N/A,N/A,T,T,T,T
jstor.org,T,T,F,F,F,F,T,T,N/A,N/A,T,F,F,F
kurier.at,T,T,F,F,T,T,F,F,F,F,F,F,F,F
lalibre.be,T,T,F,F,F,F,F,F,T,T,F,F,T,T
lesoir.be,T,T,F,F,T,T,F,F,F,F,F,F,F,F
letsencrypt.org,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
manomano.it,T,T,T,T,F,F,F,F,T,T,T,T,F,F
matalan.co.uk,T,T,F,F,F,F,F,F,T,T,F,F,T,T
mediatek.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
meinbezirk.at,T,T,T,T,F,F,F,F,F,F,T,T,T,T
mgid.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
mobilevikings.be,T,T,F,F,F,F,F,F,T,T,F,F,F,F
nhm.ac.uk,T,T,F,F,F,F,F,F,F,F,F,F,F,F
nice.org.uk,T,T,F,F,F,F,F,F,T,T,F,F,F,F
nirvam.it,T,T,F,F,F,F,T,T,N/A,N/A,T,T,T,T
open.ac.uk,T,T,F,F,F,F,F,F,F,F,T,F,F,F
otenet.gr,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
parliament.uk,T,T,F,F,F,F,F,F,T,T,F,F,F,F
penguin.co.uk,T,T,F,F,F,F,F,F,T,T,F,F,F,F
primeriti.es,T,T,F,F,F,F,F,F,F,F,F,F,F,F
proximus.be,T,T,F,F,F,F,F,F,T,T,F,F,F,F
publico.es,T,T,F,F,T,F,T,T,N/A,N/A,F,T,T,T
rapid7.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
riotgames.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
about.me,T,T,F,F,F,F,F,F,T,T,F,F,T,T
aboutcookies.org,T,T,F,F,F,F,F,F,T,T,F,F,F,F
accenture.com,T,T,F,T,F,F,F,F,T,T,F,F,F,F
adsmoloco.com,T,T,T,T,F,F,F,F,T,T,F,F,F,F
akamai.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
aljazeera.com,T,T,F,F,F,F,F,F,T,T,F,T,F,F
altervista.org,T,T,F,F,F,F,F,F,F,F,T,T,F,F
aniview.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
asu.edu,T,T,F,F,F,F,F,F,T,T,F,F,F,F
barnesandnoble.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
bazaarvoice.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
salesforceliveagent.com,T,T,T,T,F,F,F,F,T,T,F,F,T,T
seenthis.se,T,T,F,F,F,F,F,F,T,T,F,F,T,T
sheffield.ac.uk,T,T,F,F,F,F,F,F,T,T,F,F,F,F
smarturl.it,T,T,F,F,F,F,F,F,T,T,F,F,F,F
soton.ac.uk,T,T,F,F,F,F,F,F,T,T,F,F,T,T
southampton.ac.uk,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
split.io,T,T,F,F,F,F,F,F,T,T,F,F,F,F
strato.de,T,T,F,F,F,F,F,F,T,T,F,F,F,F
su.se,T,T,F,F,F,F,F,F,T,T,F,F,T,T
sverigesradio.se,T,T,T,T,F,F,F,F,T,T,F,F,F,F
synology.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
terra.com.br,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
tim.it,T,T,F,F,F,F,F,F,F,F,F,T,F,F
tjsp.jus.br,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
trendyol.com,T,T,F,F,F,F,F,F,F,F,T,T,F,F
turfomania.fr,T,T,F,F,F,F,F,F,F,F,T,T,F,F
tvnet.lv,T,T,F,F,F,F,F,F,F,F,T,T,T,T
typeform.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
udag.de,T,T,F,F,F,F,F,F,T,T,F,F,F,F
umbrella.com,T,T,F,F,F,F,F,T,T,N/A,F,F,F,F
uni-bremen.de,T,T,T,T,F,F,F,F,T,T,F,F,F,F
uw.edu.pl,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
vg.no,T,T,T,T,F,F,T,T,N/A,N/A,F,T,F,F
viber.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,F,F
vivo.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
wyborcza.pl,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,T
wyzecam.com,T,T,F,T,F,F,F,F,T,T,T,T,T,F
xhaccess.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
https://xhamster.best/,T,T,F,F,F,F,F,F,T,T,F,F,T,T
xhwide5.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
xplosion.de,T,T,F,F,F,T,F,F,T,T,F,F,F,F
zdnet.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
znanylekarz.pl,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
versatel.de,T,T,F,F,F,F,F,F,F,F,T,T,T,T
smartthings.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
24.hu,T,T,F,F,F,F,T,T,N/A,N/A,T,T,T,T
aemet.es,T,T,F,F,F,F,T,T,N/A,N/A,T,T,T,T
aftonbladet.se,T,T,F,F,F,F,F,F,T,T,T,T,F,F
allianz.de,T,T,F,F,F,F,F,F,F,F,T,T,F,F
anchor.fm,T,T,F,F,F,F,F,F,T,T,F,F,T,T
autoscout24.de,T,T,F,F,F,F,F,F,F,F,T,T,F,F
autoscout24.it,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
bayern.de,F,T,F,F,F,F,T,T,N/A,N/A,T,T,T,T
bl.uk,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
check24.de,T,T,T,T,T,T,T,T,N/A,N/A,T,T,F,F
core.ac.uk,T,T,F,F,F,F,F,F,T,T,T,F,F,F
cornelsen.de,T,T,F,F,F,F,F,F,T,T,T,T,F,F
csic.es,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
cwi.nl,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
dhl.de,T,T,F,F,F,F,T,T,N/A,N/A,F,T,T,T
ebay.it,T,T,F,F,F,F,F,F,F,F,T,T,F,F
emag.bg,T,T,F,F,F,F,F,F,T,T,T,T,F,F
eventim.de,T,T,F,F,F,F,F,F,T,T,T,T,T,T
fattoincasadabenedetta.it          T,T,T,F,F,F,F,F,F,F,F,T,T,F,F
finya.de,T,T,F,F,F,F,F,F,F,F,F,T,F,F
flashscore.de,T,T,F,F,F,F,F,F,F,F,T,T,T,T
gla.ac.uk,T,T,F,F,F,F,F,F,T,T,T,T,T,T
huffingtonpost.es,T,T,F,F,F,F,F,F,F,F,T,T,T,T
idos.cz,T,T,F,F,F,F,T,T,N/A,N/A,T,T,T,T
index.hu,T,T,F,F,F,F,F,F,F,F,T,T,T,T
kaiser-autoankauf.de,T,T,F,T,T,T,T,T,N/A,N/A,T,T,T,T
kicker.de,T,T,F,T,T,T,F,F,T,T,T,T,T,T
meteo.gr,T,T,F,F,F,F,T,T,N/A,T,T,T,T,T
metoffice.gov.uk,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
morgenpost.de,T,T,T,T,T,T,F,F,F,F,F,F,T,T
nazwa.pl,T,T,T,T,F,F,T,T,N/A,N/A,T,T,F,F
next.co.uk,T,T,F,F,F,F,F,F,T,T,T,T,F,F
olx.pl,T,T,F,F,F,F,F,F,T,T,T,T,T,T
ons.gov.uk,F,F,F,F,F,F,F,F,T,T,T,T,F,F
ox.ac.uk,T,T,T,T,F,F,F,F,T,T,T,T,F,F
polsatnews.pl,T,T,T,T,F,F,F,F,F,F,T,T,F,F
qvc.de,T,T,F,F,F,F,F,F,F,F,T,T,F,F
rmf24.pl,T,T,F,F,T,T,F,F,T,T,T,T,F,F
sainsburys.co.uk,T,T,F,F,F,F,F,F,F,F,T,T,F,F
sport.es,T,T,F,F,T,T,F,F,T,T,T,T,F,F
sport.ro,T,T,F,F,F,F,F,F,T,T,F,F,F,T
sport1.de,T,T,F,F,T,T,F,F,T,T,T,T,T,T
sportime.gr,T,T,F,F,F,F,F,F,F,F,T,T,T,T
svt.se,T,T,F,F,F,F,F,F,F,F,T,T,F,F
tate.org.uk,T,T,F,F,F,F,F,F,T,T,T,T,F,F
tchibo.de,T,T,F,F,F,F,F,F,F,F,F,F,F,F
telegraaf.nl,T,T,T,T,F,F,F,F,T,T,T,T,F,F
telenor.se,T,T,F,F,F,F,F,F,F,F,F,F,F,F
ticketmaster.co.uk,T,T,F,F,F,F,F,F,F,F,T,T,F,F
transip.nl,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
tvn24.pl,T,T,F,F,F,F,F,F,F,F,T,T,T,T
uu.se,T,T,T,T,F,F,T,T,N/A,N/A,F,F,F,F
very.co.uk,T,T,F,F,F,F,F,F,T,T,T,T,F,F
vogue.co.uk,T,T,F,F,F,F,F,F,T,T,T,T,F,F
volkswagen.de,T,T,F,F,T,T,T,T,N/A,N/A,T,T,F,F
warwick.ac.uk,T,T,F,F,F,F,F,F,T,T,T,T,F,F
webgo.de,T,T,F,F,F,F,F,F,T,T,T,T,F,F
wetteronline.de,T,T,F,F,T,T,F,F,F,F,T,T,F,F
which.co.uk,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
york.ac.uk,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
amazon.co.uk,T,T,F,F,F,F,F,F,T,T,T,T,F,F
amazon.es,T,T,F,F,F,F,F,F,T,T,T,T,F,F
amazon.fr,T,T,F,F,F,F,F,F,T,T,T,T,F,F
bild.de,T,T,F,F,T,T,F,F,T,T,F,F,F,F
elmundo.es,T,T,F,F,T,T,F,F,F,F,T,T,F,F
free.fr,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
leparisien.fr,T,T,F,F,T,T,F,F,F,F,T,T,F,F
ouest-france.fr,T,T,F,F,T,T,F,F,F,F,T,T,F,F
service.gov.uk,T,T,T,T,F,F,F,F,T,T,F,F,F,F
https://www.theregister.com/,T,T,F,F,F,F,F,F,T,T,F,F,T,T
www.gov.uk,T,T,F,F,F,F,F,F,T,T,F,F,F,F
thomsonreuters.net,T,T,F,F,F,F,F,F,T,T,T,T,T,T
townnews.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
shopbop.com,T,T,T,T,F,F,F,F,T,T,F,F,F,F
https://bad.news/,T,T,T,T,F,F,T,T,F,F,T,F,T,T
buffalonews.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
komonews.com,T,T,F,F,T,T,F,F,T,T,,T,F,F
letyshops.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
milannews.it,T,T,T,T,F,F,F,F,F,F,T,T,F,F
re-store.ru,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
thomsonreuters.org,T,T,F,F,F,F,F,F,T,T,T,T,F,F
wionews.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
miaminewtimes.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
news4jax.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
newsbeast.gr,T,T,F,F,F,F,F,F,F,F,T,T,T,T
newsbtc.com,T,T,F,F,F,F,F,F,T,T,T,T,T,T
newschool.edu,T,T,T,T,F,F,F,F,T,T,F,F,F,F
photoshop.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
spotlightstores.com,T,T,F,F,F,F,T,T,F,F,F,F,T,T
target.com.au,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
theartnewspaper.com,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
theperfumeshop.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
timeslive.co.za,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
racingnews365.nl,T,T,F,F,F,F,F,F,T,T,F,F,T,T
supermarketnews.com,T,T,T,F,F,F,F,F,T,T,F,F,T,T
adp.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,F,F
agora.io,T,T,F,F,F,F,F,F,T,T,F,F,F,F
ahrefs.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
appier.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
asahi.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
avira.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
bfmtv.com,T,T,F,F,F,F,F,F,F,F,F,F,T,T
bigolive.tv,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
http://blog.google/,T,T,F,F,F,F,T,T,N/A,N/A,T,T,T,T
bmj.com,T,T,T,T,F,F,F,F,F,F,T,T,F,F
bounceexchange.com,T,T,F,F,F,F,T,T,T,T,T,T,F,F
https://www.braze.com/,T,T,F,F,F,F,F,F,T,T,T,T,T,T
brookings.edu,T,T,T,T,F,F,F,F,T,T,F,F,F,F
championat.com,T,T,T,T,F,F,T,T,F,F,T,T,T,T
chartbeat.com,T,T,T,T,F,F,F,F,T,T,F,F,F,F
comcast.net,T,T,T,T,F,F,F,F,T,T,F,F,F,F
connatix.com,T,T,T,T,F,F,F,F,T,T,F,F,F,F
crazyegg.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
datadome.co,T,T,F,F,F,F,T,T,N/A,N/A,T,F,T,T
dhl.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
digitalocean.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
docker.io,T,T,T,T,F,F,F,F,T,T,T,F,F,F
duke.edu,T,T,F,F,F,F,F,F,F,T,F,F,T,T
dw.com,T,T,F,F,F,F,F,F,T,T,T,T,F,T
enable-javascript.com,T,T,F,F,F,F,T,T,N/A,N/A,T,F,T,T
entrepreneur.com,T,T,F,F,F,F,F,F,T,T,T,F,F,F
euronews.com,T,T,F,F,F,F,F,F,F,F,F,T,T,T
evergage.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
figma.com,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
flaticon.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
fool.com,T,T,F,F,F,F,F,F,F,F,F,T,F,T
getgrass.io,T,T,F,F,F,F,F,F,T,T,T,F,F,T
goguardian.com,T,T,F,F,F,F,F,F,T,T,T,F,F,F
gotowebinar.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
haber7.com,T,T,F,T,F,F,T,T,N/A,N/A,T,F,T,T
ihg.com,T,T,F,F,F,F,T,T,N/A,N/A,F,T,T,F
java.com,T,T,F,F,F,F,F,F,T,T,T,F,F,F
jetbrains.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
khanacademy.org,F,F,F,F,F,F,F,F,T,T,T,F,F,F
lecturas.com,T,T,F,F,T,T,F,F,F,F,F,F,F,F
lego.com,T,T,F,F,F,F,F,F,F,T,F,F,T,T
lww.com,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
mapbox.com,T,T,T,T,F,F,F,F,T,T,T,F,F,F
mashable.com,T,T,F,F,F,F,T,T,N/A,N/A,T,F,F,F
mega.nz,T,T,F,F,F,F,F,F,T,T,T,F,F,F
mitre.org,T,T,F,F,F,F,F,F,T,T,T,F,F,F
moz.com,T,T,F,F,F,F,T,T,N/A,N/A,T,F,F,F
mparticle.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
n-able.com,T,T,F,F,F,F,F,F,T,T,T,T,T,T
n1info.rs,T,T,F,F,F,F,T,T,N/A,N/A,F,T,T,T
nasdaq.com,T,T,F,F,F,F,F,F,T,T,T,F,T,T
nba.com,T,T,F,F,F,F,F,F,F,F,TT,T,F,F
orcid.org,T,T,F,F,F,F,F,F,T,T,F,F,F,F
paloaltonetworks.com,T,T,T,T,F,F,F,F,T,T,T,T,F,F
pcmag.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
pewresearch.org,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
pusher.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
pwc.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
https://xhamster44.desi/,T,T,F,F,F,F,F,F,T,T,F,F,T,T
http://ww38.xhsoftware.site/,T,T,T,T,F,F,F,F,T,T,F,F,T,T
zend.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
zoom.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
bitnami.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
broadcom.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
digitaloceanspaces.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
dynamicyield.com,T,T,F,F,F,F,F,F,T,T,,F,F,F
elconfidencial.com,T,T,F,F,T,T,F,F,F,F,T,T,F,F
ethz.ch,T,T,T,T,F,F,T,T,N/A,N/A,F,F,F,F
ezvizlife.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
fifa.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
flic.kr,T,T,F,F,F,F,F,F,T,T,F,F,F,F
ford.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
foursquare.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
france24.com,T,T,F,F,F,F,F,F,F,F,F,F,F,F
fullstory.com,T,T,T,T,F,F,F,F,T,T,T,T,F,F
gameanalytics.com,T,T,F,F,F,F,F,T,F,N/A,F,F,F,F
google-analytics.com,T,T,F,F,F,F,F,F,T,T,T,T,T,T
hootsuite.com,T,T,T,T,F,F,F,F,T,T,F,F,T,T
hostinger.com,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
ladies.de,T,T,F,F,F,F,F,F,F,F,F,T,T,T
leeds.ac.uk,T,T,F,F,F,F,F,F,T,T,T,T,F,F
lemonde.fr,T,T,F,F,F,F,F,F,F,F,T,T,T,T
liberation.fr,T,T,T,T,T,T,F,F,T,T,T,T,T,T
livesport.cz,T,T,F,F,T,T,F,F,F,F,T,T,T,T
lse.ac.uk,T,T,F,F,F,F,F,F,T,T,T,T,F,F
podbean.com,T,T,F,F,F,F,F,F,F,F,F,F,F,F
Ground News,T,T,T,T,F,F,F,F,T,T,T,T,F,F
20minutes.fr,T,T,T,T,F,F,F,F,F,F,F,F,F,F
ably.io,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
abril.com.br,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
admixer.net,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
adswizz.com,T,T,T,T,F,F,F,F,T,T,F,F,F,F
adweek.com,T,T,T,F,F,F,F,F,T,T,F,F,F,F
airtable.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
ansa.it,T,T,F,F,T,T,F,F,F,F,T,T,F,F
arduino.cc,T,T,F,F,F,F,F,F,T,T,F,F,T,T
belkin.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,F,F
bell-labs.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
bitly.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
businessweek.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
channel4.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
clickagy.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
coca-cola.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
computerworld.com,T,T,F,F,F,F,F,F,F,F,T,T,F,F
cookieyes.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
demandbase.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
dreamstime.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
duosecurity.com,T,T,F,F,F,F,F,T,T,N/A,F,F,F,F
esa.int,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
ey.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
familysearch.org,T,T,F,F,F,F,F,F,T,T,F,F,F,F
flightaware.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
gatech.edu,T,T,F,F,F,F,F,F,T,T,F,F,T,T
geny.com,T,T,F,F,F,F,F,F,F,F,T,T,F,F
heapanalytics.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
hh.ru,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
honeywell.com,T,T,T,T,F,F,F,F,T,T,F,F,F,F
hopkinsmedicine.org,T,T,F,F,F,F,F,F,T,T,F,F,F,F
hoyoverse.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
hrw.org,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
icann.org,T,T,F,F,F,F,F,F,T,T,T,T,F,F
identrust.com,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,F
intelbras.com.br,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
iop.org,T,T,T,T,F,F,T,T,N/A,N/A,F,F,F,F
irishtimes.com,T,T,F,F,F,F,F,F,F,F,T,T,T,T
ispot.tv,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
itv.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
iubenda.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
jwplayer.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
kargo.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
kpmg.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
loom.com,T,T,T,T,F,F,F,F,T,T,F,F,F,F
matterport.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,F
meetup.com,T,T,F,F,F,F,F,F,T,T,T,T,T,T
mega.co.nz,T,T,F,F,F,F,F,F,T,T,F,F,F,F
mimecast.com,T,T,F,F,F,F,T,F,N/A,T,F,F,F,F
mintegral.net,T,T,T,T,F,F,F,F,T,T,F,F,T,T
moloco.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
https://www.netlify.com/,T,T,T,T,F,F,F,F,T,T,F,F,F,F
news24.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
nokia.com,T,T,F,F,F,F,F,F,T,T,F,T,F,F
novell.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
onaudience.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
onetrust.com,F,F,F,F,F,F,F,F,T,T,T,T,F,F
ourworldindata.org,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
over-blog.com,T,T,F,F,T,F,T,F,F,T,T,T,T,T
overwolf.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
panasonic.com,F,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
pastebin.com,T,T,T,T,F,F,T,T,N/A,N/A,F,F,T,T
paypal.me,T,T,F,F,T,T,T,T,N/A,N/A,F,F,F,F
photobucket.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
playrix.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
quickconnect.to,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
rayjump.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
reasonsecurity.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
ringcentral.com,T,T,F,T,F,F,F,F,T,T,T,T,F,T
rtbhouse.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
samba.tv,T,T,F,F,F,F,F,F,T,T,F,F,F,F
sanook.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
semanticscholar.org,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
service-now.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
si.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
siriusxm.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
skysports.com,T,T,F,F,F,F,F,F,F,F,T,T,F,F
smartsheet.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
snapcraft.io,T,T,F,T,F,F,F,F,F,F,F,F,F,F
splashtop.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
starbucks.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
strava.com,T,T,F,F,F,F,F,F,F,T,F,F,F,F
texas.gov,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
themoviedb.org,T,T,F,F,F,F,T,F,F,T,F,F,F,F
thomsonreuters.com,T,T,F,F,F,F,F,F,T,T,T,T,F,F
timeout.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
tsn.ua,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
tufts.edu,T,T,F,F,F,F,T,T,N/A,N/A,T,T,T,T
ubi.com,T,T,F,F,F,F,F,F,T,F,F,F,F,F
uefa.com,T,T,T,T,F,F,F,F,F,F,T,T,F,F
unc.edu,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
uniqlo.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
united.com,T,T,T,T,F,F,F,F,T,T,T,T,F,F
usc.edu,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
vanityfair.com,T,T,F,F,F,F,F,F,T,T,F,F,T,T
verkada.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
visa.com,T,T,F,T,F,F,T,T,N/A,N/A,F,F,F,F
webrootcloudav.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
